envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	-18000	-18000	-18000	-18000	-18000	-18000	
7	-21000	-21000	-21000	-21000	-21000	-21000	
8	-24000	-24000	-24000	-24000	-24000	-24000	
9	-27000	-27000	-27000	-27000	-27000	-27000	
10	-30000	-30000	-30000	-30000	-30000	-30000	
11	-9000	-33000	-33000	87000	-33000	-33000	
12	-12000	-36000	-36000	84000	-36000	-36000	
13	-15000	-39000	-39000	81000	-39000	-39000	
14	-18000	-42000	-42000	78000	-42000	-42000	
15	3000	-45000	-45000	75000	75000	-45000	
16	0	-48000	-48000	72000	72000	-48000	
17	21000	-51000	69000	69000	69000	-51000	
18	42000	66000	66000	66000	66000	-54000	
19	111000	63000	183000	183000	63000	63000	
20	108000	60000	180000	180000	60000	60000	
21	129000	57000	177000	177000	177000	57000	
22	150000	54000	174000	174000	174000	174000	
23	147000	51000	171000	171000	171000	171000	
24	144000	48000	168000	168000	168000	168000	
25	141000	45000	165000	165000	165000	165000	
26	138000	42000	162000	162000	162000	162000	
27	135000	39000	159000	159000	159000	159000	
28	156000	156000	156000	156000	156000	156000	
29	153000	153000	153000	153000	153000	153000	
30	150000	150000	150000	150000	150000	150000	
31	147000	147000	147000	147000	147000	147000	
32	144000	144000	144000	144000	144000	144000	
33	141000	141000	141000	141000	141000	141000	
34	138000	138000	138000	138000	138000	138000	
35	135000	135000	135000	135000	135000	135000	
36	132000	132000	132000	132000	132000	132000	
37	153000	249000	129000	129000	129000	129000	
38	150000	246000	126000	126000	126000	126000	
39	147000	243000	123000	123000	123000	123000	
40	144000	240000	120000	120000	120000	120000	
41	141000	237000	117000	117000	117000	117000	
42	138000	234000	114000	114000	114000	114000	
43	135000	231000	111000	111000	111000	111000	
44	156000	228000	108000	228000	108000	108000	
45	177000	225000	225000	225000	105000	105000	
46	174000	222000	222000	222000	102000	102000	
47	171000	219000	219000	219000	99000	99000	
48	168000	216000	216000	216000	96000	96000	
49	165000	213000	213000	213000	93000	93000	
50	162000	210000	210000	210000	90000	90000	
51	159000	207000	207000	207000	87000	87000	
52	156000	204000	204000	204000	84000	84000	
53	153000	201000	201000	201000	81000	81000	
54	150000	198000	198000	198000	78000	78000	
55	147000	195000	195000	195000	75000	75000	
56	144000	192000	192000	192000	72000	72000	
57	141000	189000	189000	189000	69000	69000	
58	186000	306000	186000	186000	186000	66000	
59	207000	423000	183000	183000	183000	63000	
60	228000	420000	3e+05	180000	180000	60000	
61	225000	417000	297000	177000	177000	57000	
62	222000	414000	294000	174000	174000	54000	
63	243000	531000	291000	171000	171000	51000	
64	288000	528000	408000	288000	168000	48000	
65	285000	525000	405000	285000	165000	45000	
66	330000	642000	402000	282000	162000	162000	
67	375000	639000	519000	399000	159000	159000	
68	396000	636000	516000	396000	156000	276000	
69	417000	633000	513000	513000	153000	273000	
70	414000	630000	510000	510000	150000	270000	
71	459000	747000	507000	507000	147000	387000	
72	504000	744000	624000	504000	264000	384000	
73	525000	741000	621000	501000	261000	501000	
74	546000	738000	738000	498000	258000	498000	
75	615000	855000	735000	615000	255000	615000	
76	612000	852000	732000	612000	252000	612000	
77	633000	849000	729000	609000	369000	609000	
