envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	-18000	-18000	-18000	-18000	-18000	-18000	
7	27000	-21000	-21000	99000	99000	-21000	
8	24000	-24000	-24000	96000	96000	-24000	
9	45000	-27000	93000	93000	93000	-27000	
10	42000	-30000	90000	90000	90000	-30000	
11	39000	-33000	87000	87000	87000	-33000	
12	60000	84000	84000	84000	84000	-36000	
13	57000	81000	81000	81000	81000	-39000	
14	54000	78000	78000	78000	78000	-42000	
15	51000	75000	75000	75000	75000	-45000	
16	72000	72000	72000	72000	72000	72000	
17	69000	69000	69000	69000	69000	69000	
18	66000	66000	66000	66000	66000	66000	
19	63000	63000	63000	63000	63000	63000	
20	60000	60000	60000	60000	60000	60000	
21	57000	57000	57000	57000	57000	57000	
22	78000	54000	54000	54000	174000	54000	
23	75000	51000	51000	51000	171000	51000	
24	72000	48000	48000	48000	168000	48000	
25	93000	45000	45000	165000	165000	45000	
26	90000	42000	42000	162000	162000	42000	
27	87000	39000	39000	159000	159000	39000	
28	84000	36000	36000	156000	156000	36000	
29	81000	33000	33000	153000	153000	33000	
30	78000	30000	30000	150000	150000	30000	
31	99000	27000	147000	147000	147000	27000	
32	96000	24000	144000	144000	144000	24000	
33	117000	141000	141000	141000	141000	21000	
34	162000	258000	138000	138000	258000	18000	
35	159000	255000	135000	135000	255000	15000	
36	156000	252000	132000	132000	252000	12000	
37	177000	249000	129000	249000	249000	9000	
38	198000	246000	246000	246000	246000	6000	
39	195000	243000	243000	243000	243000	3000	
40	240000	240000	360000	240000	360000	0	
41	261000	237000	357000	237000	477000	-3000	
42	258000	234000	354000	234000	474000	-6000	
43	255000	231000	351000	231000	471000	-9000	
44	252000	228000	348000	228000	468000	-12000	
45	273000	225000	345000	225000	465000	105000	
46	318000	342000	342000	222000	462000	222000	
47	387000	459000	339000	339000	459000	339000	
48	384000	456000	336000	336000	456000	336000	
49	381000	453000	333000	333000	453000	333000	
50	378000	450000	330000	330000	450000	330000	
51	375000	447000	327000	327000	447000	327000	
52	372000	444000	324000	324000	444000	324000	
53	393000	561000	321000	321000	441000	321000	
54	390000	558000	318000	318000	438000	318000	
55	411000	555000	435000	315000	435000	315000	
56	408000	552000	432000	312000	432000	312000	
57	429000	549000	429000	309000	429000	429000	
58	426000	546000	426000	306000	426000	426000	
59	447000	543000	423000	303000	543000	423000	
60	444000	540000	420000	3e+05	540000	420000	
61	465000	657000	417000	297000	537000	417000	
62	462000	654000	414000	294000	534000	414000	
63	459000	651000	411000	291000	531000	411000	
64	456000	648000	408000	288000	528000	408000	
65	453000	645000	405000	285000	525000	405000	
66	474000	642000	402000	402000	522000	402000	
67	495000	639000	519000	399000	519000	399000	
68	492000	636000	516000	396000	516000	396000	
69	489000	633000	513000	393000	513000	393000	
70	486000	630000	510000	390000	510000	390000	
71	483000	627000	507000	387000	507000	387000	
72	480000	624000	504000	384000	504000	384000	
73	477000	621000	501000	381000	501000	381000	
74	498000	738000	498000	378000	498000	378000	
75	495000	735000	495000	375000	495000	375000	
76	540000	852000	612000	372000	492000	372000	
77	537000	849000	609000	369000	489000	369000	
78	534000	846000	606000	366000	486000	366000	
79	555000	843000	603000	483000	483000	363000	
