envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	39000	-9000	-9000	111000	111000	-9000	
4	36000	-12000	-12000	108000	108000	-12000	
5	33000	-15000	-15000	105000	105000	-15000	
6	30000	-18000	-18000	102000	102000	-18000	
7	51000	-21000	-21000	99000	99000	99000	
8	48000	-24000	-24000	96000	96000	96000	
9	45000	-27000	-27000	93000	93000	93000	
10	42000	-30000	-30000	90000	90000	90000	
11	63000	87000	-33000	87000	87000	87000	
12	60000	84000	-36000	84000	84000	84000	
13	57000	81000	-39000	81000	81000	81000	
14	78000	78000	78000	78000	78000	78000	
15	75000	75000	75000	75000	75000	75000	
16	96000	72000	72000	72000	72000	192000	
17	93000	69000	69000	69000	69000	189000	
18	90000	66000	66000	66000	66000	186000	
19	111000	63000	63000	63000	183000	183000	
20	108000	60000	60000	60000	180000	180000	
21	105000	57000	57000	57000	177000	177000	
22	102000	54000	54000	54000	174000	174000	
23	99000	51000	51000	51000	171000	171000	
24	120000	48000	48000	168000	168000	168000	
25	141000	45000	45000	165000	165000	285000	
26	138000	42000	42000	162000	162000	282000	
27	135000	39000	39000	159000	159000	279000	
28	156000	36000	36000	156000	156000	396000	
29	153000	33000	33000	153000	153000	393000	
30	150000	30000	30000	150000	150000	390000	
31	147000	27000	27000	147000	147000	387000	
32	144000	24000	24000	144000	144000	384000	
33	141000	21000	21000	141000	141000	381000	
34	138000	18000	18000	138000	138000	378000	
35	135000	15000	15000	135000	135000	375000	
36	132000	12000	12000	132000	132000	372000	
37	153000	129000	9000	129000	129000	369000	
38	174000	126000	6000	246000	126000	366000	
39	195000	123000	3000	363000	123000	363000	
40	216000	240000	0	360000	120000	360000	
41	237000	237000	117000	357000	117000	357000	
42	234000	234000	114000	354000	114000	354000	
43	255000	231000	111000	351000	231000	351000	
44	252000	228000	108000	348000	228000	348000	
45	273000	225000	105000	465000	225000	345000	
46	294000	222000	222000	462000	222000	342000	
47	315000	219000	339000	459000	219000	339000	
48	312000	216000	336000	456000	216000	336000	
49	309000	213000	333000	453000	213000	333000	
50	330000	330000	330000	450000	210000	330000	
51	327000	327000	327000	447000	207000	327000	
52	324000	324000	324000	444000	204000	324000	
53	321000	321000	321000	441000	201000	321000	
54	318000	318000	318000	438000	198000	318000	
55	315000	315000	315000	435000	195000	315000	
56	336000	312000	312000	432000	312000	312000	
57	357000	309000	309000	429000	429000	309000	
58	354000	306000	306000	426000	426000	306000	
59	351000	303000	303000	423000	423000	303000	
60	348000	3e+05	3e+05	420000	420000	3e+05	
61	345000	297000	297000	417000	417000	297000	
62	366000	294000	414000	414000	414000	294000	
63	435000	291000	531000	531000	531000	291000	
64	432000	288000	528000	528000	528000	288000	
65	453000	285000	525000	525000	645000	285000	
66	450000	282000	522000	522000	642000	282000	
67	471000	279000	519000	519000	639000	399000	
68	492000	396000	516000	516000	636000	396000	
69	489000	393000	513000	513000	633000	393000	
70	510000	390000	630000	510000	630000	390000	
71	507000	387000	627000	507000	627000	387000	
72	528000	384000	624000	504000	744000	384000	
73	573000	501000	621000	501000	741000	501000	
74	594000	618000	618000	498000	738000	498000	
75	591000	615000	615000	495000	735000	495000	
76	588000	612000	612000	492000	732000	492000	
77	585000	609000	609000	489000	729000	489000	
78	630000	726000	606000	486000	846000	486000	
79	627000	723000	603000	483000	843000	483000	
