envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	12000	-12000	-12000	108000	-12000	-12000	
5	33000	-15000	-15000	105000	-15000	105000	
6	78000	102000	102000	102000	-18000	102000	
7	99000	99000	99000	99000	99000	99000	
8	96000	96000	96000	96000	96000	96000	
9	117000	93000	93000	93000	213000	93000	
10	114000	90000	90000	90000	210000	90000	
11	111000	87000	87000	87000	207000	87000	
12	108000	84000	84000	84000	204000	84000	
13	105000	81000	81000	81000	201000	81000	
14	102000	78000	78000	78000	198000	78000	
15	123000	195000	75000	75000	195000	75000	
16	120000	192000	72000	72000	192000	72000	
17	117000	189000	69000	69000	189000	69000	
18	114000	186000	66000	66000	186000	66000	
19	135000	183000	183000	63000	183000	63000	
20	132000	180000	180000	60000	180000	60000	
21	129000	177000	177000	57000	177000	57000	
22	126000	174000	174000	54000	174000	54000	
23	147000	171000	171000	51000	171000	171000	
24	144000	168000	168000	48000	168000	168000	
25	141000	165000	165000	45000	165000	165000	
26	138000	162000	162000	42000	162000	162000	
27	159000	159000	159000	159000	159000	159000	
28	156000	156000	156000	156000	156000	156000	
29	153000	153000	153000	153000	153000	153000	
30	150000	150000	150000	150000	150000	150000	
31	147000	147000	147000	147000	147000	147000	
32	144000	144000	144000	144000	144000	144000	
33	165000	141000	141000	141000	141000	261000	
34	162000	138000	138000	138000	138000	258000	
35	159000	135000	135000	135000	135000	255000	
36	156000	132000	132000	132000	132000	252000	
37	177000	249000	129000	129000	129000	249000	
38	198000	246000	246000	126000	126000	246000	
39	219000	243000	243000	123000	123000	363000	
40	264000	360000	240000	240000	120000	360000	
41	285000	357000	237000	237000	237000	357000	
42	306000	354000	234000	234000	234000	474000	
43	327000	471000	231000	231000	231000	471000	
44	324000	468000	228000	228000	228000	468000	
45	321000	465000	225000	225000	225000	465000	
46	318000	462000	222000	222000	222000	462000	
47	363000	459000	219000	339000	339000	459000	
48	360000	456000	216000	336000	336000	456000	
49	357000	453000	213000	333000	333000	453000	
50	354000	450000	210000	330000	330000	450000	
51	375000	447000	327000	327000	327000	447000	
52	420000	444000	444000	324000	444000	444000	
53	417000	441000	441000	321000	441000	441000	
54	414000	438000	438000	318000	438000	438000	
55	411000	435000	435000	315000	435000	435000	
56	408000	432000	432000	312000	432000	432000	
57	429000	429000	429000	429000	429000	429000	
58	426000	426000	426000	426000	426000	426000	
59	423000	423000	423000	423000	423000	423000	
60	444000	420000	420000	420000	420000	540000	
61	465000	417000	537000	417000	417000	537000	
62	486000	414000	534000	534000	414000	534000	
63	507000	411000	651000	531000	411000	531000	
64	504000	408000	648000	528000	408000	528000	
65	501000	405000	645000	525000	405000	525000	
66	522000	402000	642000	522000	402000	642000	
67	519000	399000	639000	519000	399000	639000	
68	540000	516000	636000	516000	396000	636000	
69	537000	513000	633000	513000	393000	633000	
70	534000	510000	630000	510000	390000	630000	
71	555000	507000	747000	507000	387000	627000	
72	576000	504000	864000	504000	384000	624000	
73	597000	501000	861000	621000	381000	621000	
74	618000	618000	858000	618000	378000	618000	
75	663000	735000	855000	615000	375000	735000	
76	684000	732000	972000	612000	372000	732000	
77	681000	729000	969000	609000	369000	729000	
78	726000	846000	966000	606000	486000	726000	
79	723000	843000	963000	603000	483000	723000	
80	720000	840000	960000	6e+05	480000	720000	
