envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	18000	114000	-6000	-6000	-6000	-6000	
3	15000	111000	-9000	-9000	-9000	-9000	
4	36000	108000	-12000	-12000	-12000	108000	
5	33000	105000	-15000	-15000	-15000	105000	
6	54000	102000	-18000	102000	-18000	102000	
7	75000	219000	-21000	99000	-21000	99000	
8	72000	216000	-24000	96000	-24000	96000	
9	69000	213000	-27000	93000	-27000	93000	
10	90000	210000	-30000	90000	90000	90000	
11	87000	207000	-33000	87000	87000	87000	
12	84000	204000	-36000	84000	84000	84000	
13	105000	201000	81000	81000	81000	81000	
14	126000	198000	78000	78000	78000	198000	
15	123000	195000	75000	75000	75000	195000	
16	144000	192000	72000	72000	72000	312000	
17	189000	189000	69000	69000	189000	429000	
18	186000	186000	66000	66000	186000	426000	
19	183000	183000	63000	63000	183000	423000	
20	180000	180000	60000	60000	180000	420000	
21	177000	177000	57000	57000	177000	417000	
22	198000	174000	54000	174000	174000	414000	
23	195000	171000	51000	171000	171000	411000	
24	240000	288000	48000	288000	168000	408000	
25	237000	285000	45000	285000	165000	405000	
26	234000	282000	42000	282000	162000	402000	
27	231000	279000	39000	279000	159000	399000	
28	228000	276000	36000	276000	156000	396000	
29	249000	273000	33000	273000	273000	393000	
30	246000	270000	30000	270000	270000	390000	
31	243000	267000	27000	267000	267000	387000	
32	288000	264000	144000	264000	384000	384000	
33	285000	261000	141000	261000	381000	381000	
34	282000	258000	138000	258000	378000	378000	
35	279000	255000	135000	255000	375000	375000	
36	276000	252000	132000	252000	372000	372000	
37	297000	249000	129000	369000	369000	369000	
38	294000	246000	126000	366000	366000	366000	
39	291000	243000	123000	363000	363000	363000	
40	288000	240000	120000	360000	360000	360000	
41	285000	237000	117000	357000	357000	357000	
42	282000	234000	114000	354000	354000	354000	
43	279000	231000	111000	351000	351000	351000	
44	3e+05	228000	108000	468000	348000	348000	
45	297000	225000	105000	465000	345000	345000	
46	294000	222000	102000	462000	342000	342000	
47	315000	219000	99000	459000	339000	459000	
48	312000	216000	96000	456000	336000	456000	
49	357000	213000	93000	573000	333000	573000	
