envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	12000	-12000	-12000	-12000	108000	-12000	
5	57000	105000	-15000	105000	105000	-15000	
6	78000	102000	-18000	102000	102000	102000	
7	99000	99000	99000	99000	99000	99000	
8	96000	96000	96000	96000	96000	96000	
9	117000	213000	93000	93000	93000	93000	
10	114000	210000	90000	90000	90000	90000	
11	135000	207000	87000	87000	207000	87000	
12	180000	204000	204000	84000	204000	204000	
13	177000	201000	201000	81000	201000	201000	
14	198000	198000	198000	198000	198000	198000	
15	195000	195000	195000	195000	195000	195000	
16	192000	192000	192000	192000	192000	192000	
17	189000	189000	189000	189000	189000	189000	
18	186000	186000	186000	186000	186000	186000	
19	183000	183000	183000	183000	183000	183000	
20	180000	180000	180000	180000	180000	180000	
21	177000	177000	177000	177000	177000	177000	
22	174000	174000	174000	174000	174000	174000	
23	171000	171000	171000	171000	171000	171000	
24	168000	168000	168000	168000	168000	168000	
25	165000	165000	165000	165000	165000	165000	
26	162000	162000	162000	162000	162000	162000	
27	159000	159000	159000	159000	159000	159000	
28	156000	156000	156000	156000	156000	156000	
29	153000	153000	153000	153000	153000	153000	
30	150000	150000	150000	150000	150000	150000	
31	147000	147000	147000	147000	147000	147000	
32	144000	144000	144000	144000	144000	144000	
33	141000	141000	141000	141000	141000	141000	
34	138000	138000	138000	138000	138000	138000	
35	135000	135000	135000	135000	135000	135000	
36	132000	132000	132000	132000	132000	132000	
37	129000	129000	129000	129000	129000	129000	
38	126000	126000	126000	126000	126000	126000	
39	123000	123000	123000	123000	123000	123000	
40	120000	120000	120000	120000	120000	120000	
41	117000	117000	117000	117000	117000	117000	
42	114000	114000	114000	114000	114000	114000	
43	111000	111000	111000	111000	111000	111000	
44	108000	108000	108000	108000	108000	108000	
45	105000	105000	105000	105000	105000	105000	
46	102000	102000	102000	102000	102000	102000	
47	123000	99000	99000	99000	99000	219000	
48	120000	96000	96000	96000	96000	216000	
49	141000	93000	213000	93000	93000	213000	
50	162000	90000	210000	90000	90000	330000	
51	183000	87000	207000	207000	87000	327000	
52	252000	204000	324000	204000	204000	324000	
53	249000	201000	321000	201000	201000	321000	
54	246000	198000	318000	198000	198000	318000	
55	267000	195000	435000	195000	195000	315000	
56	312000	312000	432000	192000	312000	312000	
57	333000	309000	429000	309000	309000	309000	
58	330000	306000	426000	306000	306000	306000	
59	327000	303000	423000	303000	303000	303000	
60	324000	3e+05	420000	3e+05	3e+05	3e+05	
61	321000	297000	417000	297000	297000	297000	
62	318000	294000	414000	294000	294000	294000	
63	363000	411000	531000	291000	291000	291000	
64	384000	408000	648000	288000	288000	288000	
65	429000	405000	765000	285000	285000	405000	
66	426000	402000	762000	282000	282000	402000	
67	447000	399000	759000	399000	279000	399000	
68	444000	396000	756000	396000	276000	396000	
69	465000	393000	753000	393000	273000	513000	
70	462000	390000	750000	390000	270000	510000	
71	483000	387000	747000	387000	267000	627000	
72	504000	504000	744000	384000	264000	624000	
73	501000	501000	741000	381000	261000	621000	
74	498000	498000	738000	378000	258000	618000	
75	519000	495000	735000	495000	255000	615000	
76	516000	492000	732000	492000	252000	612000	
77	513000	489000	729000	489000	249000	609000	
78	510000	486000	726000	486000	246000	606000	
79	507000	483000	723000	483000	243000	603000	
80	504000	480000	720000	480000	240000	6e+05	
