envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
138	1650000	1626000	1626000	1626000	1746000	1626000	
139	1647000	1623000	1623000	1623000	1743000	1623000	
140	1716000	1740000	1740000	1620000	1860000	1620000	
141	1737000	1737000	1857000	1617000	1857000	1617000	
142	1758000	1734000	1854000	1734000	1854000	1614000	
143	1779000	1731000	1851000	1731000	1851000	1731000	
144	1848000	1848000	1848000	1848000	1968000	1728000	
145	1893000	1845000	1845000	1845000	2085000	1845000	
146	1938000	1962000	1842000	1842000	2082000	1962000	
147	1935000	1959000	1839000	1839000	2079000	1959000	
148	1932000	1956000	1836000	1836000	2076000	1956000	
149	1953000	2073000	1833000	1833000	2073000	1953000	
150	1950000	2070000	1830000	1830000	2070000	1950000	
151	1947000	2067000	1827000	1827000	2067000	1947000	
152	1968000	2064000	1824000	1824000	2064000	2064000	
153	1989000	2061000	1821000	1941000	2061000	2061000	
154	1986000	2058000	1818000	1938000	2058000	2058000	
155	1983000	2055000	1815000	1935000	2055000	2055000	
156	2004000	2052000	1932000	1932000	2052000	2052000	
157	2025000	2049000	1929000	2049000	2049000	2049000	
158	2022000	2046000	1926000	2046000	2046000	2046000	
159	2043000	2043000	1923000	2043000	2163000	2043000	
160	2112000	2040000	2040000	2160000	2160000	2160000	
161	2109000	2037000	2037000	2157000	2157000	2157000	
162	2106000	2034000	2034000	2154000	2154000	2154000	
163	2127000	2031000	2151000	2151000	2151000	2151000	
164	2148000	2028000	2148000	2148000	2268000	2148000	
165	2145000	2025000	2145000	2145000	2265000	2145000	
166	2142000	2022000	2142000	2142000	2262000	2142000	
167	2139000	2019000	2139000	2139000	2259000	2139000	
168	2136000	2016000	2136000	2136000	2256000	2136000	
169	2181000	2133000	2133000	2253000	2253000	2133000	
170	2202000	2130000	2130000	2250000	2250000	2250000	
171	2223000	2127000	2127000	2367000	2247000	2247000	
172	2220000	2124000	2124000	2364000	2244000	2244000	
173	2217000	2121000	2121000	2361000	2241000	2241000	
174	2238000	2118000	2118000	2358000	2238000	2358000	
175	2235000	2115000	2115000	2355000	2235000	2355000	
176	2256000	2232000	2112000	2352000	2232000	2352000	
177	2277000	2229000	2229000	2349000	2229000	2349000	
178	2274000	2226000	2226000	2346000	2226000	2346000	
179	2271000	2223000	2223000	2343000	2223000	2343000	
180	2268000	2220000	2220000	2340000	2220000	2340000	
181	2313000	2337000	2337000	2337000	2217000	2337000	
182	2310000	2334000	2334000	2334000	2214000	2334000	
183	2331000	2451000	2331000	2331000	2211000	2331000	
184	2328000	2448000	2328000	2328000	2208000	2328000	
185	2325000	2445000	2325000	2325000	2205000	2325000	
186	2322000	2442000	2322000	2322000	2202000	2322000	
187	2319000	2439000	2319000	2319000	2199000	2319000	
188	2340000	2556000	2316000	2316000	2196000	2316000	
189	2361000	2553000	2313000	2313000	2193000	2433000	
190	2382000	2670000	2310000	2310000	2190000	2430000	
191	2379000	2667000	2307000	2307000	2187000	2427000	
192	2448000	2784000	2304000	2304000	2304000	2544000	
193	2445000	2781000	2301000	2301000	2301000	2541000	
194	2442000	2778000	2298000	2298000	2298000	2538000	
195	2439000	2775000	2295000	2295000	2295000	2535000	
196	2484000	2772000	2292000	2412000	2292000	2652000	
197	2481000	2769000	2289000	2409000	2289000	2649000	
198	2526000	2886000	2286000	2526000	2286000	2646000	
199	2523000	2883000	2283000	2523000	2283000	2643000	
200	2520000	2880000	2280000	2520000	2280000	2640000	
201	2517000	2877000	2277000	2517000	2277000	2637000	
202	2514000	2874000	2274000	2514000	2274000	2634000	
203	2559000	2871000	2271000	2631000	2391000	2631000	
204	2580000	2988000	2268000	2628000	2388000	2628000	
205	2601000	2985000	2385000	2625000	2385000	2625000	
206	2598000	2982000	2382000	2622000	2382000	2622000	
207	2619000	2979000	2379000	2619000	2499000	2619000	
208	2640000	2976000	2376000	2736000	2496000	2616000	
209	2661000	2973000	2493000	2733000	2493000	2613000	
