envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	12000	-12000	-12000	108000	-12000	-12000	
5	33000	-15000	-15000	105000	-15000	105000	
6	54000	102000	-18000	102000	-18000	102000	
7	75000	99000	99000	99000	-21000	99000	
8	72000	96000	96000	96000	-24000	96000	
9	93000	93000	93000	93000	-27000	213000	
10	90000	90000	90000	90000	-30000	210000	
11	87000	87000	87000	87000	-33000	207000	
12	108000	84000	84000	84000	84000	204000	
13	105000	81000	81000	81000	81000	201000	
14	102000	78000	78000	78000	78000	198000	
15	99000	75000	75000	75000	75000	195000	
16	96000	72000	72000	72000	72000	192000	
17	93000	69000	69000	69000	69000	189000	
18	114000	66000	66000	186000	66000	186000	
19	135000	63000	63000	303000	63000	183000	
20	132000	60000	60000	3e+05	60000	180000	
21	129000	57000	57000	297000	57000	177000	
22	150000	54000	174000	294000	54000	174000	
23	171000	51000	171000	411000	51000	171000	
24	168000	48000	168000	408000	48000	168000	
25	165000	45000	165000	405000	45000	165000	
26	162000	42000	162000	402000	42000	162000	
27	159000	39000	159000	399000	39000	159000	
28	156000	36000	156000	396000	36000	156000	
29	153000	33000	153000	393000	33000	153000	
30	174000	30000	150000	390000	150000	150000	
31	171000	27000	147000	387000	147000	147000	
32	168000	24000	144000	384000	144000	144000	
33	165000	21000	141000	381000	141000	141000	
34	186000	138000	138000	378000	138000	138000	
35	183000	135000	135000	375000	135000	135000	
36	180000	132000	132000	372000	132000	132000	
37	177000	129000	129000	369000	129000	129000	
38	174000	126000	126000	366000	126000	126000	
39	171000	123000	123000	363000	123000	123000	
40	192000	120000	240000	360000	120000	120000	
41	189000	117000	237000	357000	117000	117000	
42	210000	114000	234000	354000	114000	234000	
43	207000	111000	231000	351000	111000	231000	
44	204000	108000	228000	348000	108000	228000	
45	201000	105000	225000	345000	105000	225000	
46	222000	102000	222000	462000	102000	222000	
47	219000	99000	219000	459000	99000	219000	
48	216000	96000	216000	456000	96000	216000	
49	213000	93000	213000	453000	93000	213000	
50	210000	90000	210000	450000	90000	210000	
51	207000	87000	207000	447000	87000	207000	
52	228000	84000	204000	444000	204000	204000	
53	225000	81000	201000	441000	201000	201000	
54	246000	78000	198000	438000	198000	318000	
55	243000	75000	195000	435000	195000	315000	
56	240000	72000	192000	432000	192000	312000	
57	237000	69000	189000	429000	189000	309000	
58	234000	66000	186000	426000	186000	306000	
59	231000	63000	183000	423000	183000	303000	
60	252000	180000	180000	420000	180000	3e+05	
61	249000	177000	177000	417000	177000	297000	
62	246000	174000	174000	414000	174000	294000	
63	267000	171000	291000	411000	171000	291000	
64	288000	288000	288000	408000	168000	288000	
65	309000	285000	405000	405000	165000	285000	
66	306000	282000	402000	402000	162000	282000	
67	303000	279000	399000	399000	159000	279000	
68	3e+05	276000	396000	396000	156000	276000	
69	297000	273000	393000	393000	153000	273000	
70	318000	270000	390000	390000	270000	270000	
71	339000	267000	387000	387000	387000	267000	
72	336000	264000	384000	384000	384000	264000	
73	357000	381000	381000	381000	381000	261000	
74	354000	378000	378000	378000	378000	258000	
75	351000	375000	375000	375000	375000	255000	
76	348000	372000	372000	372000	372000	252000	
77	345000	369000	369000	369000	369000	249000	
78	390000	486000	486000	366000	366000	246000	
79	411000	483000	603000	363000	363000	243000	
