envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	18000	-6000	-6000	-6000	-6000	114000	
3	15000	-9000	-9000	-9000	-9000	111000	
4	12000	-12000	-12000	-12000	-12000	108000	
5	9000	-15000	-15000	-15000	-15000	105000	
6	54000	-18000	102000	-18000	102000	102000	
7	51000	-21000	99000	-21000	99000	99000	
8	72000	96000	96000	-24000	96000	96000	
9	69000	93000	93000	-27000	93000	93000	
10	66000	90000	90000	-30000	90000	90000	
11	111000	207000	87000	87000	87000	87000	
12	132000	204000	204000	84000	84000	84000	
13	129000	201000	201000	81000	81000	81000	
14	126000	198000	198000	78000	78000	78000	
15	123000	195000	195000	75000	75000	75000	
16	120000	192000	192000	72000	72000	72000	
17	117000	189000	189000	69000	69000	69000	
18	114000	186000	186000	66000	66000	66000	
19	111000	183000	183000	63000	63000	63000	
20	108000	180000	180000	60000	60000	60000	
21	153000	177000	177000	177000	57000	177000	
22	150000	174000	174000	174000	54000	174000	
23	147000	171000	171000	171000	51000	171000	
24	144000	168000	168000	168000	48000	168000	
25	141000	165000	165000	165000	45000	165000	
26	138000	162000	162000	162000	42000	162000	
27	135000	159000	159000	159000	39000	159000	
28	132000	156000	156000	156000	36000	156000	
29	129000	153000	153000	153000	33000	153000	
30	126000	150000	150000	150000	30000	150000	
31	123000	147000	147000	147000	27000	147000	
32	120000	144000	144000	144000	24000	144000	
33	117000	141000	141000	141000	21000	141000	
34	138000	138000	138000	138000	138000	138000	
35	135000	135000	135000	135000	135000	135000	
36	132000	132000	132000	132000	132000	132000	
37	129000	129000	129000	129000	129000	129000	
38	150000	126000	126000	246000	126000	126000	
39	147000	123000	123000	243000	123000	123000	
40	144000	120000	120000	240000	120000	120000	
41	165000	237000	117000	237000	117000	117000	
42	186000	234000	114000	234000	114000	234000	
43	183000	231000	111000	231000	111000	231000	
44	180000	228000	108000	228000	108000	228000	
45	177000	225000	105000	225000	105000	225000	
46	174000	222000	102000	222000	102000	222000	
47	195000	219000	99000	339000	99000	219000	
48	192000	216000	96000	336000	96000	216000	
49	213000	333000	93000	333000	93000	213000	
50	210000	330000	90000	330000	90000	210000	
51	207000	327000	87000	327000	87000	207000	
52	204000	324000	84000	324000	84000	204000	
53	225000	321000	81000	441000	81000	201000	
54	246000	318000	78000	438000	78000	318000	
55	267000	315000	75000	435000	195000	315000	
56	288000	312000	192000	432000	192000	312000	
57	285000	309000	189000	429000	189000	309000	
58	282000	306000	186000	426000	186000	306000	
59	303000	303000	303000	423000	183000	303000	
60	324000	3e+05	3e+05	420000	180000	420000	
61	321000	297000	297000	417000	177000	417000	
62	318000	294000	294000	414000	174000	414000	
63	315000	291000	291000	411000	171000	411000	
64	312000	288000	288000	408000	168000	408000	
65	333000	285000	285000	525000	165000	405000	
66	354000	282000	402000	522000	162000	402000	
67	375000	279000	519000	519000	159000	399000	
68	420000	396000	516000	516000	276000	396000	
69	417000	393000	513000	513000	273000	393000	
70	414000	390000	510000	510000	270000	390000	
71	435000	387000	507000	507000	387000	387000	
72	432000	384000	504000	504000	384000	384000	
73	477000	381000	621000	621000	381000	381000	
74	522000	378000	738000	618000	498000	378000	
75	567000	495000	735000	735000	495000	375000	
76	564000	492000	732000	732000	492000	372000	
77	561000	489000	729000	729000	489000	369000	
78	606000	486000	726000	726000	606000	486000	
79	603000	483000	723000	723000	603000	483000	
80	648000	6e+05	720000	720000	6e+05	6e+05	
81	645000	597000	717000	717000	597000	597000	
82	666000	594000	714000	714000	714000	594000	
83	663000	591000	711000	711000	711000	591000	
84	660000	588000	708000	708000	708000	588000	
85	705000	585000	705000	825000	705000	705000	
86	702000	582000	702000	822000	702000	702000	
87	723000	579000	819000	819000	699000	699000	
88	744000	576000	936000	816000	696000	696000	
89	765000	693000	933000	813000	693000	693000	
90	810000	690000	930000	810000	810000	810000	
91	831000	687000	927000	807000	807000	927000	
92	828000	684000	924000	804000	804000	924000	
93	849000	801000	921000	801000	801000	921000	
94	846000	798000	918000	798000	798000	918000	
95	867000	795000	915000	795000	795000	1035000	
96	864000	792000	912000	792000	792000	1032000	
97	885000	789000	909000	909000	789000	1029000	
98	906000	786000	906000	906000	786000	1146000	
99	927000	783000	903000	903000	783000	1263000	
100	924000	780000	9e+05	9e+05	780000	1260000	
101	921000	777000	897000	897000	777000	1257000	
102	942000	774000	894000	894000	894000	1254000	
103	939000	771000	891000	891000	891000	1251000	
104	960000	768000	888000	1008000	888000	1248000	
105	981000	765000	1005000	1005000	885000	1245000	
106	978000	762000	1002000	1002000	882000	1242000	
107	975000	759000	999000	999000	879000	1239000	
108	996000	876000	996000	996000	876000	1236000	
109	1017000	873000	993000	1113000	873000	1233000	
110	1038000	870000	990000	1230000	870000	1230000	
111	1107000	867000	1107000	1227000	987000	1347000	
112	1128000	864000	1224000	1224000	984000	1344000	
113	1125000	861000	1221000	1221000	981000	1341000	
114	1122000	858000	1218000	1218000	978000	1338000	
115	1143000	855000	1215000	1215000	975000	1455000	
116	1188000	972000	1212000	1212000	972000	1572000	
117	1185000	969000	1209000	1209000	969000	1569000	
118	1206000	966000	1326000	1206000	966000	1566000	
119	1203000	963000	1323000	1203000	963000	1563000	
120	1200000	960000	1320000	1200000	960000	1560000	
121	1197000	957000	1317000	1197000	957000	1557000	
122	1194000	954000	1314000	1194000	954000	1554000	
123	1191000	951000	1311000	1191000	951000	1551000	
124	1212000	948000	1428000	1188000	948000	1548000	
125	1233000	945000	1545000	1185000	945000	1545000	
126	1230000	942000	1542000	1182000	942000	1542000	
127	1251000	1059000	1539000	1179000	939000	1539000	
128	1272000	1056000	1536000	1296000	936000	1536000	
129	1317000	1173000	1653000	1293000	933000	1533000	
130	1338000	1290000	1650000	1290000	930000	1530000	
131	1359000	1287000	1767000	1287000	927000	1527000	
132	1356000	1284000	1764000	1284000	924000	1524000	
133	1377000	1281000	1761000	1281000	921000	1641000	
134	1398000	1278000	1758000	1278000	1038000	1638000	
135	1395000	1275000	1755000	1275000	1035000	1635000	
136	1440000	1392000	1752000	1272000	1152000	1632000	
137	1509000	1509000	1749000	1389000	1149000	1749000	
138	1506000	1506000	1746000	1386000	1146000	1746000	
139	1551000	1503000	1863000	1383000	1263000	1743000	
140	1548000	1500000	1860000	1380000	1260000	1740000	
141	1545000	1497000	1857000	1377000	1257000	1737000	
142	1566000	1494000	1854000	1494000	1254000	1734000	
143	1611000	1491000	1851000	1611000	1371000	1731000	
144	1632000	1608000	1848000	1608000	1368000	1728000	
145	1629000	1605000	1845000	1605000	1365000	1725000	
146	1626000	1602000	1842000	1602000	1362000	1722000	
147	1623000	1599000	1839000	1599000	1359000	1719000	
148	1644000	1596000	1836000	1716000	1356000	1716000	
149	1665000	1713000	1833000	1713000	1353000	1713000	
150	1686000	1710000	1830000	1710000	1470000	1710000	
151	1707000	1827000	1827000	1707000	1467000	1707000	
152	1752000	1824000	1824000	1824000	1464000	1824000	
153	1797000	1821000	1821000	1821000	1581000	1941000	
154	1818000	1818000	1818000	1818000	1698000	1938000	
155	1863000	1815000	1935000	1935000	1695000	1935000	
156	1908000	1812000	1932000	2052000	1812000	1932000	
157	1929000	1809000	1929000	2049000	1809000	2049000	
158	1926000	1806000	1926000	2046000	1806000	2046000	
159	1923000	1803000	1923000	2043000	1803000	2043000	
160	1920000	1800000	1920000	2040000	1800000	2040000	
161	1917000	1797000	1917000	2037000	1797000	2037000	
162	1914000	1794000	1914000	2034000	1794000	2034000	
163	1935000	1791000	1911000	2031000	1911000	2031000	
164	1932000	1788000	1908000	2028000	1908000	2028000	
165	1953000	1905000	1905000	2025000	1905000	2025000	
166	1974000	1902000	1902000	2022000	1902000	2142000	
167	1995000	1899000	1899000	2139000	1899000	2139000	
168	1992000	1896000	1896000	2136000	1896000	2136000	
169	2013000	1893000	2013000	2133000	1893000	2133000	
170	2082000	2010000	2130000	2130000	2010000	2130000	
171	2079000	2007000	2127000	2127000	2007000	2127000	
172	2076000	2004000	2124000	2124000	2004000	2124000	
173	2097000	2001000	2121000	2121000	2001000	2241000	
174	2166000	1998000	2238000	2238000	2118000	2238000	
175	2163000	1995000	2235000	2235000	2115000	2235000	
176	2208000	2112000	2232000	2232000	2232000	2232000	
177	2205000	2109000	2229000	2229000	2229000	2229000	
178	2202000	2106000	2226000	2226000	2226000	2226000	
179	2199000	2103000	2223000	2223000	2223000	2223000	
180	2196000	2100000	2220000	2220000	2220000	2220000	
181	2241000	2097000	2337000	2337000	2217000	2217000	
182	2262000	2094000	2334000	2334000	2214000	2334000	
183	2283000	2091000	2331000	2451000	2211000	2331000	
184	2280000	2088000	2328000	2448000	2208000	2328000	
