envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	-18000	-18000	-18000	-18000	-18000	-18000	
7	3000	-21000	-21000	-21000	99000	-21000	
8	0	-24000	-24000	-24000	96000	-24000	
9	21000	-27000	93000	-27000	93000	-27000	
10	42000	-30000	90000	90000	90000	-30000	
11	39000	-33000	87000	87000	87000	-33000	
12	60000	-36000	84000	84000	84000	84000	
13	57000	-39000	81000	81000	81000	81000	
14	54000	-42000	78000	78000	78000	78000	
15	75000	-45000	75000	75000	75000	195000	
16	96000	-48000	72000	192000	72000	192000	
17	141000	69000	69000	189000	189000	189000	
18	138000	66000	66000	186000	186000	186000	
19	135000	63000	63000	183000	183000	183000	
20	132000	60000	60000	180000	180000	180000	
21	129000	57000	57000	177000	177000	177000	
22	126000	54000	54000	174000	174000	174000	
23	123000	51000	51000	171000	171000	171000	
24	144000	168000	48000	168000	168000	168000	
25	141000	165000	45000	165000	165000	165000	
26	138000	162000	42000	162000	162000	162000	
27	135000	159000	39000	159000	159000	159000	
28	156000	156000	156000	156000	156000	156000	
29	153000	153000	153000	153000	153000	153000	
30	150000	150000	150000	150000	150000	150000	
31	147000	147000	147000	147000	147000	147000	
32	144000	144000	144000	144000	144000	144000	
33	141000	141000	141000	141000	141000	141000	
34	138000	138000	138000	138000	138000	138000	
35	135000	135000	135000	135000	135000	135000	
36	132000	132000	132000	132000	132000	132000	
37	129000	129000	129000	129000	129000	129000	
38	126000	126000	126000	126000	126000	126000	
39	147000	123000	123000	123000	243000	123000	
40	144000	120000	120000	120000	240000	120000	
41	141000	117000	117000	117000	237000	117000	
42	138000	114000	114000	114000	234000	114000	
43	135000	111000	111000	111000	231000	111000	
44	156000	108000	108000	108000	348000	108000	
45	177000	105000	105000	225000	345000	105000	
46	246000	222000	222000	222000	462000	102000	
47	267000	219000	219000	339000	459000	99000	
48	264000	216000	216000	336000	456000	96000	
49	261000	213000	213000	333000	453000	93000	
50	258000	210000	210000	330000	450000	90000	
51	279000	207000	327000	327000	447000	87000	
52	3e+05	204000	324000	444000	444000	84000	
53	297000	201000	321000	441000	441000	81000	
54	294000	198000	318000	438000	438000	78000	
55	315000	195000	315000	435000	435000	195000	
56	336000	312000	312000	432000	432000	192000	
57	333000	309000	309000	429000	429000	189000	
58	354000	426000	306000	426000	426000	186000	
59	375000	543000	303000	423000	423000	183000	
60	372000	540000	3e+05	420000	420000	180000	
61	369000	537000	297000	417000	417000	177000	
62	366000	534000	294000	414000	414000	174000	
63	363000	531000	291000	411000	411000	171000	
64	432000	648000	288000	408000	528000	288000	
65	429000	645000	285000	405000	525000	285000	
66	450000	642000	282000	402000	522000	402000	
67	447000	639000	279000	399000	519000	399000	
68	468000	636000	276000	396000	636000	396000	
69	465000	633000	273000	393000	633000	393000	
70	486000	630000	270000	390000	630000	510000	
71	507000	627000	267000	387000	747000	507000	
72	504000	624000	264000	384000	744000	504000	
73	573000	741000	381000	381000	861000	501000	
74	642000	738000	498000	498000	858000	618000	
75	687000	735000	615000	615000	855000	615000	
76	684000	732000	612000	612000	852000	612000	
77	705000	849000	609000	609000	849000	609000	
78	702000	846000	606000	606000	846000	606000	
