envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	18000	114000	-6000	-6000	-6000	-6000	
3	15000	111000	-9000	-9000	-9000	-9000	
4	36000	108000	108000	-12000	-12000	-12000	
5	57000	105000	105000	-15000	-15000	105000	
6	54000	102000	102000	-18000	-18000	102000	
7	51000	99000	99000	-21000	-21000	99000	
8	72000	96000	96000	-24000	96000	96000	
9	69000	93000	93000	-27000	93000	93000	
10	66000	90000	90000	-30000	90000	90000	
11	63000	87000	87000	-33000	87000	87000	
12	60000	84000	84000	-36000	84000	84000	
13	57000	81000	81000	-39000	81000	81000	
14	102000	78000	78000	78000	198000	78000	
15	99000	75000	75000	75000	195000	75000	
16	120000	192000	72000	72000	192000	72000	
17	117000	189000	69000	69000	189000	69000	
18	162000	186000	66000	186000	186000	186000	
19	159000	183000	63000	183000	183000	183000	
20	156000	180000	60000	180000	180000	180000	
21	177000	177000	57000	177000	297000	177000	
22	174000	174000	54000	174000	294000	174000	
23	171000	171000	51000	171000	291000	171000	
24	168000	168000	48000	168000	288000	168000	
25	165000	165000	45000	165000	285000	165000	
26	162000	162000	42000	162000	282000	162000	
27	159000	159000	39000	159000	279000	159000	
28	156000	156000	36000	156000	276000	156000	
29	153000	153000	33000	153000	273000	153000	
30	150000	150000	30000	150000	270000	150000	
31	147000	147000	27000	147000	267000	147000	
32	144000	144000	24000	144000	264000	144000	
33	141000	141000	21000	141000	261000	141000	
34	138000	138000	18000	138000	258000	138000	
35	159000	135000	135000	135000	255000	135000	
36	156000	132000	132000	132000	252000	132000	
37	153000	129000	129000	129000	249000	129000	
38	150000	126000	126000	126000	246000	126000	
39	147000	123000	123000	123000	243000	123000	
40	144000	120000	120000	120000	240000	120000	
41	165000	117000	237000	117000	237000	117000	
42	162000	114000	234000	114000	234000	114000	
43	159000	111000	231000	111000	231000	111000	
44	156000	108000	228000	108000	228000	108000	
45	153000	105000	225000	105000	225000	105000	
46	174000	102000	222000	102000	222000	222000	
47	195000	99000	219000	99000	219000	339000	
48	192000	96000	216000	96000	216000	336000	
49	213000	93000	213000	93000	333000	333000	
50	210000	90000	210000	90000	330000	330000	
