envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	12000	-12000	108000	-12000	-12000	-12000	
5	9000	-15000	105000	-15000	-15000	-15000	
6	6000	-18000	102000	-18000	-18000	-18000	
7	3000	-21000	99000	-21000	-21000	-21000	
8	48000	-24000	96000	-24000	96000	96000	
9	69000	-27000	93000	93000	93000	93000	
10	90000	90000	90000	90000	90000	90000	
11	87000	87000	87000	87000	87000	87000	
12	108000	84000	84000	204000	84000	84000	
13	105000	81000	81000	201000	81000	81000	
14	126000	78000	78000	198000	198000	78000	
15	123000	75000	75000	195000	195000	75000	
16	120000	72000	72000	192000	192000	72000	
17	117000	69000	69000	189000	189000	69000	
18	114000	66000	66000	186000	186000	66000	
19	111000	63000	63000	183000	183000	63000	
20	108000	60000	60000	180000	180000	60000	
21	129000	57000	177000	177000	177000	57000	
22	150000	174000	174000	174000	174000	54000	
23	147000	171000	171000	171000	171000	51000	
24	144000	168000	168000	168000	168000	48000	
25	189000	285000	165000	165000	165000	165000	
26	186000	282000	162000	162000	162000	162000	
27	183000	279000	159000	159000	159000	159000	
28	180000	276000	156000	156000	156000	156000	
29	177000	273000	153000	153000	153000	153000	
30	174000	270000	150000	150000	150000	150000	
31	171000	267000	147000	147000	147000	147000	
32	168000	264000	144000	144000	144000	144000	
33	165000	261000	141000	141000	141000	141000	
34	162000	258000	138000	138000	138000	138000	
35	183000	255000	135000	135000	135000	255000	
36	180000	252000	132000	132000	132000	252000	
37	177000	249000	129000	129000	129000	249000	
38	174000	246000	126000	126000	126000	246000	
39	195000	243000	123000	123000	243000	243000	
40	216000	240000	120000	240000	240000	240000	
41	237000	237000	117000	237000	357000	237000	
42	234000	234000	114000	234000	354000	234000	
43	231000	231000	111000	231000	351000	231000	
44	228000	228000	108000	228000	348000	228000	
45	225000	225000	105000	225000	345000	225000	
46	246000	222000	222000	222000	342000	222000	
47	243000	219000	219000	219000	339000	219000	
48	240000	216000	216000	216000	336000	216000	
49	237000	213000	213000	213000	333000	213000	
50	258000	330000	210000	210000	330000	210000	
51	255000	327000	207000	207000	327000	207000	
52	252000	324000	204000	204000	324000	204000	
53	249000	321000	201000	201000	321000	201000	
54	270000	318000	318000	198000	318000	198000	
55	291000	435000	315000	195000	315000	195000	
56	288000	432000	312000	192000	312000	192000	
57	285000	429000	309000	189000	309000	189000	
58	282000	426000	306000	186000	306000	186000	
59	279000	423000	303000	183000	303000	183000	
60	3e+05	420000	3e+05	3e+05	3e+05	180000	
61	321000	417000	297000	297000	297000	297000	
62	318000	414000	294000	294000	294000	294000	
63	339000	411000	291000	291000	411000	291000	
64	360000	408000	288000	408000	408000	288000	
65	405000	405000	285000	525000	525000	285000	
66	426000	402000	402000	522000	522000	282000	
67	447000	399000	399000	519000	519000	399000	
68	444000	396000	396000	516000	516000	396000	
69	489000	393000	393000	513000	633000	513000	
70	486000	390000	390000	510000	630000	510000	
71	483000	387000	387000	507000	627000	507000	
72	480000	384000	384000	504000	624000	504000	
73	501000	381000	381000	501000	741000	501000	
74	522000	378000	498000	498000	738000	498000	
75	543000	495000	495000	495000	735000	495000	
76	540000	492000	492000	492000	732000	492000	
77	561000	609000	489000	489000	729000	489000	
78	582000	606000	606000	486000	726000	486000	
79	603000	603000	723000	483000	723000	483000	
