envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
141	1473000	1377000	1257000	1737000	1377000	1617000	
142	1494000	1374000	1374000	1734000	1374000	1614000	
143	1515000	1371000	1371000	1731000	1491000	1611000	
144	1512000	1368000	1368000	1728000	1488000	1608000	
145	1533000	1365000	1365000	1845000	1485000	1605000	
146	1530000	1362000	1362000	1842000	1482000	1602000	
147	1551000	1359000	1359000	1839000	1599000	1599000	
148	1548000	1356000	1356000	1836000	1596000	1596000	
149	1569000	1353000	1353000	1833000	1713000	1593000	
150	1566000	1350000	1350000	1830000	1710000	1590000	
151	1587000	1347000	1467000	1827000	1707000	1587000	
152	1608000	1344000	1584000	1824000	1704000	1584000	
153	1653000	1461000	1581000	1941000	1701000	1581000	
154	1722000	1578000	1578000	1938000	1818000	1698000	
155	1719000	1575000	1575000	1935000	1815000	1695000	
156	1716000	1572000	1572000	1932000	1812000	1692000	
157	1713000	1569000	1569000	1929000	1809000	1689000	
158	1710000	1566000	1566000	1926000	1806000	1686000	
159	1731000	1563000	1563000	1923000	1923000	1683000	
160	1728000	1560000	1560000	1920000	1920000	1680000	
161	1725000	1557000	1557000	1917000	1917000	1677000	
162	1722000	1554000	1554000	1914000	1914000	1674000	
163	1719000	1551000	1551000	1911000	1911000	1671000	
164	1740000	1548000	1668000	1908000	1908000	1668000	
165	1761000	1665000	1665000	1905000	1905000	1665000	
166	1782000	1662000	1662000	1902000	1902000	1782000	
167	1827000	1659000	1779000	1899000	2019000	1779000	
168	1824000	1656000	1776000	1896000	2016000	1776000	
169	1845000	1773000	1773000	1893000	2013000	1773000	
170	1866000	1770000	1770000	2010000	2010000	1770000	
171	1887000	1767000	1887000	2007000	2007000	1767000	
172	1884000	1764000	1884000	2004000	2004000	1764000	
173	1881000	1761000	1881000	2001000	2001000	1761000	
174	1878000	1758000	1878000	1998000	1998000	1758000	
175	1875000	1755000	1875000	1995000	1995000	1755000	
176	1896000	1752000	1872000	1992000	2112000	1752000	
177	1941000	1869000	1869000	1989000	2229000	1749000	
178	1938000	1866000	1866000	1986000	2226000	1746000	
179	1959000	1983000	1863000	1983000	2223000	1743000	
180	1980000	2100000	1860000	1980000	2220000	1740000	
181	2001000	2097000	1857000	2097000	2217000	1737000	
182	1998000	2094000	1854000	2094000	2214000	1734000	
183	1995000	2091000	1851000	2091000	2211000	1731000	
184	2016000	2088000	1848000	2088000	2208000	1848000	
185	2037000	2085000	1845000	2205000	2205000	1845000	
186	2034000	2082000	1842000	2202000	2202000	1842000	
187	2031000	2079000	1839000	2199000	2199000	1839000	
188	2052000	2076000	1836000	2316000	2196000	1836000	
189	2049000	2073000	1833000	2313000	2193000	1833000	
190	2046000	2070000	1830000	2310000	2190000	1830000	
191	2091000	2067000	1827000	2427000	2187000	1947000	
192	2112000	2064000	1944000	2424000	2184000	1944000	
193	2133000	2061000	1941000	2421000	2181000	2061000	
